Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
D8:68:C3:C1:E5:51,66/70,-45,"AndroidAP",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0431
F4:91:1E:6A:2E:08,33/70,-76,"1e6a2e08",2.412,1,[ 1 2 5.5 6 9 24 36 48 54 ],802.11i,WPA2,51.1306,17.0431
24:A4:3C:FE:13:88,34/70,-78,"slon-AER tel 888084818",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0431
36:2C:94:E7:50:60,30/70,-80,"Wi-Free #InternetUPCNajszybszy",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0431
34:2C:C4:E7:50:60,30/70,-80,"UPC1024805",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0431
34:2C:C4:73:26:25,31/70,-80.3333,"UPC4258472",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0431
E4:C0:E2:0D:7E:20,24/70,-86.6667,"Orange_Swiatlowod_7E20",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0431
36:2C:94:73:26:25,28/70,-82,"Wi-Free #InternetUPCNajszybszy",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0431
C0:3C:04:3B:A7:B0,25/70,-83.3333,"Orange_Swiatlowod_A7B0",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0431
60:32:B1:16:73:1A,26/70,-83.6667,"TP-Link_731B_5G",5.24,48,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0431
60:32:B1:16:73:1B,23/70,-87,"TP-Link_731B",2.427,4,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0431
84:A1:D1:D1:FC:B5,22/70,-88.6667,"Orange_Swiatlowod_FCB0",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0431
68:FF:7B:E4:06:02,26/70,-84.3333,"TP-Link_0604_5G",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0431
10:27:F5:61:7F:74,33/70,-77,"SkyNet!",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1306,17.0431
16:27:F5:61:7F:74,30/70,-80,"",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1306,17.0431
34:2C:C4:C0:76:9E,37/70,-78,"UPC5316311",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0431
08:26:97:CD:44:DF,29/70,-83,"ZyXELCD44DE",2.427,4,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0431
00:9A:CD:6B:F1:6E,41/70,-71.3333,"HUAWEI-B315-F16E",2.422,3,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0431
F4:28:53:7D:D7:04,27/70,-82.6667,"Korbank-DD704",2.452,9,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0431
AC:F8:CC:05:8C:85,24/70,-86,"beamek5",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0431
20:83:F8:39:14:7C,24/70,-86,"NETIASPOT-5GHz-391474",5.26,52,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0431
08:36:C9:90:DA:E3,29/70,-81,"Fasolkowo",2.442,7,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0431
A8:6A:BB:60:79:A5,29/70,-82,"Orange_Swiatlowod_79A0",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0431
10:27:F5:61:7F:73,26/70,-84,"SkyNet!",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0431
36:2C:94:C0:76:9E,37/70,-73,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0431
36:2C:94:E8:A4:E3,28/70,-82,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0431
E8:D2:FF:5E:0B:A0,20/70,-90,"Orange_Swiatlowod_0BA0",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0431
14:4D:67:0A:FF:4C,37/70,-73.3333,"Korbank-2.4G-144D670AFF48",2.412,1,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1306,17.0431
28:AC:67:0B:33:28,36/70,-74,"Korbank-internet-bd97_2.4GHz",2.427,4,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0431
34:2C:C4:E8:A4:E3,36/70,-78,"UPC5615390",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0431
74:AC:B9:C2:A7:D8,24/70,-86,"Xiaomi_E225",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0431
7C:10:C9:B5:99:20,30/70,-80,"cantTouchThis",2.447,8,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0431
34:2C:C4:E7:BB:6E,29/70,-81,"UPC3553093",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0431
68:02:B8:09:0E:DD,29/70,-84.3333,"UPC4850464",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0431
