Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
D8:68:C3:C1:E5:51,62/70,-48,"AndroidAP",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1307,17.0435
24:A4:3C:FE:13:88,33/70,-77,"slon-AER tel 888084818",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
34:2C:C4:E7:50:60,26/70,-84,"UPC1024805",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0435
E4:C0:E2:0D:7E:20,21/70,-89,"Orange_Swiatlowod_7E20",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
C0:3C:04:3B:A7:B0,19/70,-90,"Orange_Swiatlowod_A7B0",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
60:32:B1:16:73:1A,24/70,-86.5,"TP-Link_731B_5G",5.24,48,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
10:27:F5:61:7F:74,33/70,-77,"SkyNet!",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1307,17.0435
34:2C:C4:C0:76:9E,28/70,-82,"UPC5316311",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0435
08:26:97:CD:44:DF,22/70,-88,"ZyXELCD44DE",2.427,4,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1307,17.0435
00:9A:CD:6B:F1:6E,24/70,-86,"HUAWEI-B315-F16E",2.422,3,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1307,17.0435
F4:28:53:7D:D7:04,32/70,-78,"Korbank-DD704",2.452,9,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0435
A8:6A:BB:60:79:A5,23/70,-87,"Orange_Swiatlowod_79A0",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
10:27:F5:61:7F:73,22/70,-88,"SkyNet!",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
36:2C:94:C0:76:9E,30/70,-80,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0435
14:4D:67:0A:FF:4C,36/70,-74,"Korbank-2.4G-144D670AFF48",2.412,1,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1307,17.0435
34:2C:C4:E8:A4:E3,38/70,-72,"UPC5615390",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0435
74:AC:B9:C2:A7:D8,27/70,-85.5,"Xiaomi_E225",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
68:02:B8:09:0E:DD,25/70,-85,"UPC4850464",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
98:42:65:D0:C7:D5,25/70,-84,"T-Mobile_Swiatlowod_5GHz_C7D0",5.3,60,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
84:A1:D1:D5:17:F5,30/70,-80,"FunBox3-17F0",5.56,112,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
AC:22:05:51:8A:47,29/70,-81,"UPC582CC89",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
34:2C:C4:D8:55:78,32/70,-81,"UPC8618176",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
6A:36:C9:90:DA:E3,20/70,-90,"Fasolkowo5G-Guest",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
68:FF:7B:25:F9:1B,21/70,-89,"freak",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
84:A1:D1:C6:ED:A0,32/70,-77.5,"Orange_Swiatlowod_EDA0",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1307,17.0435
68:02:B8:09:0E:E4,31/70,-79,"UPC4850464",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0435
84:A1:D1:C6:ED:A5,29/70,-81,"Orange_Swiatlowod_EDA0",5.56,112,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
36:2C:94:E8:73:37,31/70,-79,"Wi-Free #InternetUPCNajszybszy",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0435
2C:05:47:03:7D:F3,32/70,-78,"70mai_M300_7df3",2.437,6,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1307,17.0435
34:2C:C4:E8:73:37,31/70,-82.5,"UPC9203683",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0435
6C:BA:B8:48:B9:65,27/70,-84.5,"Orange_Swiatlowod_B960",5.28,56,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
52:FF:20:44:DB:45,20/70,-90,"",2.452,9,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0435
AE:22:15:51:8A:57,33/70,-77,"Wi-Free #InternetUPCNajszybszy",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0435
AC:22:05:51:8A:57,29/70,-80.5,"UPC582CC89",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0435
34:2C:C4:38:C2:B5,31/70,-79,"Fryty:)",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0435
34:2C:C4:E8:A4:DB,30/70,-80,"UPC5615390",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
30:93:BC:94:A5:05,27/70,-86.5,"Orange_Swiatlowod_A500",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
68:02:B8:09:0E:7D,28/70,-82,"UPC4158327",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0435
44:AD:B1:9F:89:14,33/70,-77,"T-Mobile_2.4GHz_9F890E",2.412,1,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1307,17.0435
6C:BA:B8:32:57:A5,23/70,-86,"Orange_Swiatlowod_57A0",5.26,52,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
34:2C:C4:B4:8A:B0,28/70,-82,"UPC7944238",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0435
36:2C:94:B4:8A:B0,26/70,-84,"Wi-Free #InternetUPCNajszybszy",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0435
34:2C:C4:E8:73:2D,31/70,-79,"UPC9203683",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
08:26:97:CD:44:E0,46/70,-64,"ZyXELCD44DE_5G",5.3,60,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
8C:59:C3:7C:F4:A8,22/70,-88,"NETIASPOT-2.4GHz-7CF4A4",2.472,13,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1307,17.0435
AC:F8:CC:03:20:EB,32/70,-84,"UPC9851863",5.62,124,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
E8:D2:FF:5E:0B:A0,20/70,-90,"Orange_Swiatlowod_0BA0",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
D4:5D:64:86:98:4C,20/70,-90,"ASUS_48_5G",5.28,56,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
3C:84:6A:1B:01:41,24/70,-86,"Midki",5.24,48,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
E0:63:DA:BB:E3:AB,23/70,-87,"VenoMedica",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
EA:63:DA:BB:E3:AB,23/70,-87,"",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0435
