Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
D8:68:C3:C1:E5:51,64/70,-50,"AndroidAP",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
34:2C:C4:C4:3D:85,32/70,-78,"UPC8021556",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
68:FF:7B:25:F9:1B,22/70,-87.3333,"freak",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
36:2C:94:C4:3D:85,32/70,-78,"Wi-Free #InternetUPCNajszybszy",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
34:2C:C4:C4:3D:A1,29/70,-81,"UPC8021556",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
0C:52:03:07:CF:66,29/70,-81,"AGM X3",2.437,6,[ 1 2 5.5 11 11 ],Mb,s;,51.1301,17.0427
F4:91:1E:6A:2E:08,32/70,-78,"1e6a2e08",2.412,1,[ 1 2 5.5 6 9 24 36 48 54 ],802.11i,WPA2,51.1301,17.0427
6E:FF:7B:25:F9:1A,29/70,-81.6667,"",2.457,10,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1301,17.0427
68:FF:7B:25:F9:1A,32/70,-77.3333,"freak",2.457,10,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1301,17.0427
24:A4:3C:FE:13:88,24/70,-80.6667,"slon-AER tel 888084818",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
B0:5A:DA:78:71:80,20/70,-90,"DIRECT-7F-HP DeskJet 3630 series",2.472,13,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
98:42:65:E3:B5:20,19/70,-91,"Orange_Swiatlowod_B520",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
68:FF:7B:26:03:DB,26/70,-84,"freak",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
5C:C3:07:29:10:30,34/70,-76,"WLAN1-H81J49",2.457,10,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
50:C7:BF:2A:83:B2,22/70,-88,"GRINGO 5G",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
68:FF:7B:98:0D:F6,22/70,-88,"TP-Link_0DF7_5G",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
98:42:65:E3:B5:24,33/70,-77,"Orange_Swiatlowod_B520",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
50:C7:BF:2A:83:B3,38/70,-72,"GRINGO",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
68:FF:7B:98:0D:F7,31/70,-79,"TP-Link_0DF7",2.432,5,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1301,17.0427
68:FF:7B:26:03:DA,34/70,-76,"freak",2.457,10,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1301,17.0427
10:5A:F7:AF:8D:48,23/70,-87,"Bunkier ale ten gorszy",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
B0:4E:26:9C:FB:A1,26/70,-84,"GRINGO 5G",2.427,4,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1301,17.0427
1C:87:2C:CC:F6:34,24/70,-86,"ASUS 11Y",2.427,4,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
FC:87:43:C0:56:AC,24/70,-86,"Orange-56AA",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
10:5A:F7:AF:8D:4C,21/70,-89,"Bunkier",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
6E:FF:7B:26:03:DA,34/70,-76,"",2.457,10,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1301,17.0427
F4:28:53:7D:D7:04,27/70,-83,"Korbank-DD704",2.452,9,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
34:2C:C4:33:1B:8C,25/70,-85,"UPC9995925",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
B0:BB:E5:C2:35:51,22/70,-88,"Kitkoland",5.56,112,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
F4:8C:EB:A7:A6:0B,22/70,-88,"Internety Szybkie",5.6,120,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
AE:E2:D3:FB:1E:87,25/70,-85,"DIRECT-87-HP DeskJet 5000 series",2.472,13,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1301,17.0427
FC:87:43:C0:56:AA,32/70,-78,"Orange-56AA",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
36:2C:94:E7:FE:89,25/70,-85,"Wi-Free #InternetUPCNajszybszy",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
36:2C:94:E7:50:60,29/70,-81,"Wi-Free #InternetUPCNajszybszy",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
00:12:2A:50:67:68,25/70,-85,"NETIASPOT-506760",2.442,7,[ 1 2 5.5 11 11 ],Mb,s;,51.1301,17.0427
8C:5B:F0:66:16:77,31/70,-79,"UPC246256156",2.437,6,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
E0:B9:4D:95:71:BC,24/70,-86,"Korbox - 142a5de6a8d6",2.412,1,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1301,17.0427
34:2C:C4:E7:50:60,31/70,-79.6667,"UPC1024805",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1301,17.0427
24:F2:7F:71:41:C0,22/70,-88,"17230h",2.447,8,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1301,17.0427
