Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
D8:68:C3:C1:E5:51,70/70,-43,"AndroidAP",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0439
24:A4:3C:FE:13:88,30/70,-80.3333,"slon-AER tel 888084818",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0439
C0:3C:04:3B:A7:B0,20/70,-90,"Orange_Swiatlowod_A7B0",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0439
10:27:F5:61:7F:73,25/70,-85,"SkyNet!",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0439
14:4D:67:0A:FF:4C,24/70,-86,"Korbank-2.4G-144D670AFF48",2.412,1,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1306,17.0439
74:AC:B9:C2:A7:D8,23/70,-86.6667,"Xiaomi_E225",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0439
AC:22:05:51:8A:57,28/70,-82,"UPC582CC89",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0439
30:93:BC:94:A5:05,30/70,-82,"Orange_Swiatlowod_A500",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0439
80:2A:A8:7E:A6:B4,20/70,-90,"bestnet3-wf-airmax.pl-717170530",5.7,140,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0439
34:2C:C4:6B:7F:4A,26/70,-84,"UPC8900844 5ghz",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0439
16:27:F5:61:7F:73,23/70,-87,"",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0439
F4:63:1F:C2:AA:99,34/70,-76,"Kocham ciebie Julcia <3",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0439
E4:57:40:E3:9E:C5,36/70,-76.3333,"Oficjalna sie\xC4\x87 Jezusa Chrystusa",5.62,124,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0439
5C:76:95:84:3A:0B,23/70,-87.6667,"5G-Vectra-WiFi-843A04",5.28,56,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0439
40:5F:7D:A3:58:0A,26/70,-84,"ABORCYJNO-LEWACKA SIEC XXX 69",2.447,8,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0439
E8:DE:27:4A:D8:D0,23/70,-87,"TP-LINK_2.4GHz_4AD8D0",2.472,13,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0439
78:A3:51:61:87:C4,30/70,-80,"Korbank-internet-f668_2.4GHz",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1306,17.0439
80:2A:A8:7C:BC:1D,24/70,-86,"bestnet4-wf-airmax.pl-717170530",5.66,132,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0439
D8:7D:7F:8D:BA:B9,21/70,-89,"FunBox2-BAB8",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0439
D4:F8:29:AC:FE:D0,34/70,-76,"Orange_Swiatlowod_FED0",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0439
20:83:F8:50:28:78,28/70,-82,"Barbie Dreamhouse",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0439
C4:E9:84:CA:28:D0,24/70,-86,"TP-LINK_CA28D1",2.427,4,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1306,17.0439
50:FF:20:34:DB:45,27/70,-83,"Kissa 2.4G",2.452,9,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0439
60:32:B1:10:FC:E3,29/70,-81,"Griswoldowie_EXT",2.457,10,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0439
50:6F:0C:4A:D4:80,24/70,-86,"Orange_Swiatlowod_D480",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0439
C0:3C:04:49:7E:F5,27/70,-83,"Orange_Swiatlowod_7EF0",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0439
C0:3C:04:49:7E:F0,35/70,-75,"Orange_Swiatlowod_7EF0",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0439
B4:43:0D:D8:95:7C,22/70,-87.6667,"icongo-d8957c",2.447,8,[ 1 2 5.5 11 9 6 12 24 48 ],NoInfo,NoInfo,51.1306,17.0439
