Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
D8:68:C3:C1:E5:51,70/70,-45,"AndroidAP",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1307,17.0441
24:A4:3C:FE:13:88,22/70,-88,"slon-AER tel 888084818",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
14:4D:67:0A:FF:4C,24/70,-86,"Korbank-2.4G-144D670AFF48",2.412,1,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1307,17.0441
74:AC:B9:C2:A7:D8,23/70,-86,"Xiaomi_E225",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
30:93:BC:94:A5:05,29/70,-85,"Orange_Swiatlowod_A500",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
80:2A:A8:7E:A6:B4,21/70,-89,"bestnet3-wf-airmax.pl-717170530",5.7,140,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
34:2C:C4:6B:7F:4A,26/70,-82,"UPC8900844 5ghz",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
E4:57:40:E3:9E:C5,32/70,-75,"Oficjalna sie\xC4\x87 Jezusa Chrystusa",5.62,124,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
5C:76:95:84:3A:0B,21/70,-89,"5G-Vectra-WiFi-843A04",5.28,56,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
E8:DE:27:4A:D8:D0,28/70,-84.3333,"TP-LINK_2.4GHz_4AD8D0",2.472,13,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0441
3C:17:10:44:F5:35,30/70,-80,"Orange_Swiatlowod_F530",5.56,112,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
84:1E:A3:10:F1:10,20/70,-90,"Orange_Swiatlowod_F110",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
C4:E9:84:CA:28:D0,26/70,-84,"TP-LINK_CA28D1",2.427,4,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1307,17.0441
50:FF:20:34:DB:45,27/70,-83,"Kissa 2.4G",2.452,9,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0441
60:32:B1:10:FC:E3,29/70,-81,"Griswoldowie_EXT",2.457,10,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0441
B4:43:0D:D8:95:7C,23/70,-87,"icongo-d8957c",2.447,8,[ 1 2 5.5 11 9 6 12 24 48 ],NoInfo,NoInfo,51.1307,17.0441
68:FF:7B:E4:06:03,27/70,-83,"TP-Link_0604",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1307,17.0441
5C:76:95:84:3A:09,25/70,-85,"2.4G-Vectra-WiFi-843A04",2.437,6,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1307,17.0441
72:AC:B9:C1:A7:D8,32/70,-73.3333,"",2.442,7,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1307,17.0441
B4:4B:D6:C1:E9:6D,22/70,-88,"Dom",2.432,5,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1307,17.0441
30:93:BC:94:A5:00,27/70,-82.6667,"Orange_Swiatlowod_A500",2.437,6,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1307,17.0441
7A:AC:B9:C2:A7:D8,24/70,-86,"",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
A8:5E:45:94:0F:A0,28/70,-82.6667,"HomeOnly",2.427,4,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1307,17.0441
34:2C:C4:92:B0:5D,30/70,-80,"UPC4329790",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
20:83:F8:4E:F7:64,28/70,-82.6667,"NETIASPOT-2.4GHz-4EF760",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1307,17.0441
68:02:B8:09:0E:7D,28/70,-82.6667,"UPC4158327",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0441
7C:8B:CA:2D:FE:D2,24/70,-86,"Griswoldowie",2.457,10,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0441
AC:F8:CC:03:20:EB,20/70,-90,"UPC9851863",5.62,124,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
42:84:6A:1B:01:42,26/70,-84,"",2.432,5,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1307,17.0441
10:5A:F7:AF:8C:6C,26/70,-84,"NETIASPOT-2.4GHz-AF8C69",2.452,9,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
8C:59:C3:66:E1:23,23/70,-87,"NETIASPOT-2.4GHz-66E11E",2.462,11,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1307,17.0441
84:1E:A3:10:F1:14,27/70,-83,"Orange_Swiatlowod_F110",2.462,11,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1307,17.0441
18:31:BF:BF:1E:E8,23/70,-87,"Zakladowa11F",2.472,13,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0441
78:98:E8:58:DD:98,23/70,-87,"dlink-DD97",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0441
60:32:B1:0D:57:61,24/70,-86,"TP-Link_5761",2.467,12,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1307,17.0441
5C:78:F8:92:AE:26,18/70,-92,"",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
7C:10:C9:62:42:BC,23/70,-87,"gs_test_5G",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
20:83:F8:27:25:90,20/70,-90,"NETIASPOT-5GHz-272588",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
20:83:F8:39:54:50,28/70,-82,"NETIASPOT-5GHz-395448",5.26,52,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
68:02:B8:09:0E:5D,32/70,-78,"UPC4158327",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
B8:69:F4:3B:44:E0,23/70,-87,"MikroTik_5GHz",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
AC:F8:CC:3D:5D:3E,24/70,-85.3333,"UPC0993058",2.412,1,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
78:98:E8:23:10:13,27/70,-83,"UPC4561538",2.437,6,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1307,17.0441
84:16:F9:AD:8B:F6,33/70,-76.6667,"TP-LINK_AD8BF7",2.462,11,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1307,17.0441
72:AC:B9:C2:A7:D8,23/70,-87,"",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
52:FF:20:44:DB:47,21/70,-89,"",5.28,56,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
AC:22:05:61:05:93,31/70,-79,"UPC233C146",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
98:F7:81:88:E8:4D,26/70,-84,"Pochemuchki2",2.432,5,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0441
B0:BE:76:6C:06:2D,26/70,-84,"ASUSsajsCAN",2.467,12,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0441
04:D9:F5:A5:B8:A8,19/70,-91,"ASUS",2.472,13,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0441
20:83:F8:4F:DD:68,22/70,-88,"NETIASPOT-5GHz-4FDD60",5.26,52,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
74:AC:B9:C1:A7:D8,33/70,-72.3333,"Xiaomi_E225",2.442,7,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1307,17.0441
AC:22:05:61:05:D1,35/70,-80.3333,"UPC233C146",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0441
AE:22:15:61:05:D1,34/70,-79.3333,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0441
34:2C:C4:6B:7F:57,26/70,-84,"UPC8900844",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1307,17.0441
20:83:F8:4F:DD:64,29/70,-81,"NETIASPOT-2.4GHz-4FDD60",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1307,17.0441
E4:57:40:E3:9E:C4,35/70,-75,"Oficjalna sie\xC4\x87 Jezusa Chrystusa",2.462,11,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
76:AC:B9:C2:A7:D8,31/70,-79,"",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
48:8F:5A:5C:90:9D,20/70,-90,"SmartEye-HV811",2.427,4,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1307,17.0441
AC:F8:CC:06:7E:BC,26/70,-82.3333,"Woz_obserwacyjny_cba_nr_7",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1307,17.0441
