Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
D8:68:C3:C1:E5:51,70/70,-39.6667,"AndroidAP",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1309,17.0443
24:A4:3C:FE:13:88,25/70,-84.6667,"slon-AER tel 888084818",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1309,17.0443
74:AC:B9:C2:A7:D8,22/70,-83.3333,"Xiaomi_E225",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1309,17.0443
30:93:BC:94:A5:05,29/70,-80,"Orange_Swiatlowod_A500",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1309,17.0443
80:2A:A8:7E:A6:B4,22/70,-88,"bestnet3-wf-airmax.pl-717170530",5.7,140,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1309,17.0443
E8:DE:27:4A:D8:D0,23/70,-84,"TP-LINK_2.4GHz_4AD8D0",2.472,13,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1309,17.0443
72:AC:B9:C1:A7:D8,29/70,-73.6667,"",2.442,7,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1309,17.0443
30:93:BC:94:A5:00,29/70,-76.6667,"Orange_Swiatlowod_A500",2.437,6,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1309,17.0443
7A:AC:B9:C2:A7:D8,27/70,-83,"",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1309,17.0443
A8:5E:45:94:0F:A0,22/70,-86.3333,"HomeOnly",2.427,4,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1309,17.0443
20:83:F8:4E:F7:64,37/70,-69.3333,"NETIASPOT-2.4GHz-4EF760",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1309,17.0443
68:02:B8:09:0E:7D,31/70,-79,"UPC4158327",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1309,17.0443
10:5A:F7:AF:8C:6C,28/70,-79,"NETIASPOT-2.4GHz-AF8C69",2.452,9,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1309,17.0443
7C:10:C9:62:42:BC,19/70,-91,"gs_test_5G",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1309,17.0443
B8:69:F4:3B:44:E0,25/70,-85.6667,"MikroTik_5GHz",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1309,17.0443
AC:F8:CC:3D:5D:3E,26/70,-84,"UPC0993058",2.412,1,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1309,17.0443
84:16:F9:AD:8B:F6,31/70,-74,"TP-LINK_AD8BF7",2.462,11,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1309,17.0443
72:AC:B9:C2:A7:D8,23/70,-87,"",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1309,17.0443
AC:22:05:61:05:93,26/70,-81,"UPC233C146",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1309,17.0443
B0:BE:76:6C:06:2D,28/70,-82,"ASUSsajsCAN",2.467,12,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1309,17.0443
74:AC:B9:C1:A7:D8,34/70,-72.6667,"Xiaomi_E225",2.442,7,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1309,17.0443
AC:22:05:61:05:D1,29/70,-81,"UPC233C146",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1309,17.0443
AE:22:15:61:05:D1,29/70,-77,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1309,17.0443
20:83:F8:4F:DD:64,35/70,-75,"NETIASPOT-2.4GHz-4FDD60",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1309,17.0443
AC:F8:CC:06:7E:BC,27/70,-83,"Woz_obserwacyjny_cba_nr_7",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1309,17.0443
10:5A:F7:AE:34:74,24/70,-86.6667,"NETIASPOT-5GHz-AE346D",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1309,17.0443
