Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
B0:BE:76:6C:06:2D,25/70,-85,"ASUSsajsCAN",2.467,12,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.131,17.0445
74:AC:B9:C1:A7:D8,32/70,-80.3333,"Xiaomi_E225",2.442,7,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.131,17.0445
AC:22:05:61:05:D1,30/70,-81.6667,"UPC233C146",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.131,17.0445
AE:22:15:61:05:D1,31/70,-82.3333,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.131,17.0445
10:5A:F7:AE:34:74,20/70,-90,"NETIASPOT-5GHz-AE346D",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
F8:AB:05:7B:8C:08,26/70,-83.3333,"FunBox2-8C08",2.447,8,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.131,17.0445
78:44:76:A3:15:6C,41/70,-69,"784476A3156C",2.412,1,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.131,17.0445
7C:10:C9:62:42:B8,23/70,-86.6667,"gs_test",2.457,10,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.131,17.0445
F8:AB:05:7B:8C:09,29/70,-80.6667,"FunBox2-8C085GHz",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
04:D9:F5:A5:B8:A8,25/70,-85,"ASUS",2.472,13,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.131,17.0445
78:A3:51:61:92:F5,25/70,-85,"Korbank-internet-4b96 5GHz",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
EC:BE:DD:96:09:C5,22/70,-88,"Orange_Swiatlowod_09C0",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
54:B1:21:53:6C:5E,24/70,-86,"WLAN1-5G-Y6M78H",5.56,112,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
E4:57:40:E3:9E:C4,31/70,-79,"Oficjalna sie\xC4\x87 Jezusa Chrystusa",2.462,11,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
E6:57:40:E3:9E:94,29/70,-81,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
20:83:F8:4E:F7:68,37/70,-73,"NETIASPOT-5GHz-4EF760",5.26,52,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
20:83:F8:4F:DD:68,26/70,-84,"NETIASPOT-5GHz-4FDD60",5.26,52,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
48:4B:D4:0D:A0:59,24/70,-86,"5G-Vectra-WiFi-0DA052",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
34:2C:C4:92:B1:2A,27/70,-83,"UPC5836929",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
76:AC:B9:C2:A7:D8,24/70,-86,"",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
28:6D:97:F8:25:87,24/70,-86,"[air purifier]_E30AJT1003194T",2.412,1,[ 1 2 5.5 6 9 24 36 48 54 ],802.11i,WPA2,51.131,17.0445
34:2C:C4:6B:7F:57,29/70,-79.6667,"UPC8900844",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.131,17.0445
68:02:B8:09:0E:7D,27/70,-83,"UPC4158327",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.131,17.0445
B6:A7:B9:BC:9C:53,24/70,-87,"",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
52:80:63:3F:5E:98,31/70,-83.6667,"Guest_WLAN_WRO2",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.131,17.0445
0C:80:63:3F:5E:9B,25/70,-85,"WLAN_WRO2",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.131,17.0445
36:2C:94:6B:7F:57,30/70,-78,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.131,17.0445
6A:02:98:09:0E:7D,24/70,-86,"Wi-Free #InternetUPCNajszybszy",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.131,17.0445
B0:A7:B9:BC:9C:52,27/70,-84.6667,"CZY\xC5\x9ACIEC",2.427,4,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.131,17.0445
AC:F8:CC:06:7E:BC,24/70,-82.6667,"Woz_obserwacyjny_cba_nr_7",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
AC:F8:CC:3D:5D:3E,31/70,-79,"UPC0993058",2.412,1,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
20:83:F8:4F:DD:64,23/70,-87,"NETIASPOT-2.4GHz-4FDD60",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.131,17.0445
10:5A:F7:B0:0A:20,29/70,-81,"wrb-net",2.437,6,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.131,17.0445
34:2C:C4:92:A7:1D,28/70,-82,"UPC4954154",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.131,17.0445
72:AC:B9:C2:A7:D8,25/70,-85,"",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
A8:63:7D:94:0F:F1,23/70,-87,"dlink-0FF0",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.131,17.0445
42:84:6A:1B:01:42,24/70,-86,"",2.432,5,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.131,17.0445
54:B1:21:53:6C:5C,29/70,-81,"WLAN1-Y6M78H",2.462,11,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.131,17.0445
7A:AC:B9:C2:A7:D8,23/70,-87,"",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
78:A3:51:61:91:34,28/70,-82,"Korbank-internet-d0d6_2.4GHz",2.427,4,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.131,17.0445
84:D8:1B:8D:5A:00,25/70,-83.6667,"TP-Link_5A00",2.447,8,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.131,17.0445
68:02:B8:09:0E:5D,26/70,-84,"UPC4158327",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
7C:10:C9:62:42:BC,21/70,-89,"gs_test_5G",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
8C:5B:F0:F1:69:B3,27/70,-83,"UPC242175553",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.131,17.0445
10:5A:F7:AE:34:70,25/70,-85,"NETIASPOT-2.4GHz-AE346D",2.462,11,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.131,17.0445
AE:F8:CC:3D:5D:1E,27/70,-83,"Wi-Free #InternetUPCNajszybszy",2.412,1,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
B6:A7:B9:BC:9C:52,25/70,-85,"",2.427,4,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.131,17.0445
D8:A7:56:D9:4F:9F,23/70,-87,"Orange_Swiatlowod_4F9A",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
34:2C:C4:9F:F7:7E,23/70,-87,"UPC9727816",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
34:2C:C4:92:A6:B0,27/70,-83,"UPC4954154",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
78:A3:51:61:92:F4,23/70,-87,"Korbank-internet-4b96_2.4GHz",2.412,1,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.131,17.0445
78:98:E8:59:13:D8,22/70,-88,"dlink-13D7",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.131,17.0445
3A:43:1D:49:36:C9,24/70,-86,"Wi-Free #InternetUPCNajszybszy",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.131,17.0445
AC:F8:CC:91:B4:D5,18/70,-92,"UPC2496898",5.62,124,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
10:5A:F7:AB:E4:2C,20/70,-90,"NETIASPOT-5GHz-ABE425",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
EC:BE:DD:96:09:C0,23/70,-87,"Orange_Swiatlowod_09C0",2.437,6,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.131,17.0445
12:E8:A7:B3:30:DD,25/70,-85,"DIRECT-MBUX 42592",2.437,6,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
78:44:76:F1:68:04,24/70,-86,"784476F16804",2.442,7,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.131,17.0445
12:E8:A7:A3:30:DD,27/70,-83,"DIRECT-MBUX 42592",5.765,153,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
24:A4:3C:FE:13:88,23/70,-87,"slon-AER tel 888084818",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
AC:F8:CC:3D:5D:3F,26/70,-84,"UPC0993058",5.62,124,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
38:43:7D:49:36:C9,25/70,-85,"UPC0536861",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.131,17.0445
A8:5E:45:94:0F:A4,19/70,-91,"HomeOnly_5G",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
34:2C:C4:92:47:65,27/70,-83,"UPC4206832",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
38:43:7D:DE:91:3C,26/70,-84,"zarkasrarka",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
78:8A:20:C8:1A:B0,20/70,-90,"bestnet5-wf-airmax.pl-717170530",5.58,116,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
10:5A:F7:AB:E4:28,27/70,-83,"NETIASPOT-2.4GHz-ABE425",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.131,17.0445
C4:E9:84:CA:28:D0,23/70,-87,"TP-LINK_CA28D1",2.427,4,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.131,17.0445
78:A3:51:61:94:00,26/70,-84,"Korbank-internet-9288_2.4GHz",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.131,17.0445
AC:22:05:CB:97:3E,24/70,-86,"UPC392F3F3",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
34:2C:C4:9F:F8:48,25/70,-85,"UPC7203440",5.32,64,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
