Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
D8:68:C3:C1:E5:51,66/70,-44.3333,"AndroidAP",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1308,17.0448
74:AC:B9:C2:A7:D8,25/70,-85,"Xiaomi_E225",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
30:93:BC:94:A5:05,27/70,-83,"Orange_Swiatlowod_A500",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
80:2A:A8:7E:A6:B4,23/70,-87,"bestnet3-wf-airmax.pl-717170530",5.7,140,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
E8:DE:27:4A:D8:D0,22/70,-88,"TP-LINK_2.4GHz_4AD8D0",2.472,13,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1308,17.0448
72:AC:B9:C1:A7:D8,28/70,-82,"",2.442,7,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1308,17.0448
30:93:BC:94:A5:00,34/70,-76,"Orange_Swiatlowod_A500",2.437,6,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1308,17.0448
20:83:F8:4E:F7:64,43/70,-67,"NETIASPOT-2.4GHz-4EF760",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1308,17.0448
10:5A:F7:AF:8C:6C,33/70,-77,"NETIASPOT-2.4GHz-AF8C69",2.452,9,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
B8:69:F4:3B:44:E0,28/70,-82,"MikroTik_5GHz",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
AC:22:05:61:05:93,28/70,-82,"UPC233C146",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
74:AC:B9:C1:A7:D8,31/70,-79,"Xiaomi_E225",2.442,7,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1308,17.0448
AC:22:05:61:05:D1,28/70,-82,"UPC233C146",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1308,17.0448
AE:22:15:61:05:D1,26/70,-84,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1308,17.0448
10:5A:F7:AE:34:74,22/70,-88,"NETIASPOT-5GHz-AE346D",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
F8:AB:05:7B:8C:08,30/70,-80,"FunBox2-8C08",2.447,8,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1308,17.0448
78:44:76:A3:15:6C,29/70,-81,"784476A3156C",2.412,1,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1308,17.0448
7C:10:C9:62:42:B8,22/70,-88,"gs_test",2.457,10,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1308,17.0448
F8:AB:05:7B:8C:09,25/70,-85,"FunBox2-8C085GHz",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
54:B1:21:53:6C:5E,24/70,-85.6667,"WLAN1-5G-Y6M78H",5.56,112,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
E6:57:40:E3:9E:94,32/70,-78,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
20:83:F8:4E:F7:68,23/70,-87,"NETIASPOT-5GHz-4EF760",5.26,52,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
48:4B:D4:0D:A0:59,25/70,-85,"5G-Vectra-WiFi-0DA052",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
76:AC:B9:C2:A7:D8,24/70,-86,"",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
28:6D:97:F8:25:87,32/70,-78,"[air purifier]_E30AJT1003194T",2.412,1,[ 1 2 5.5 6 9 24 36 48 54 ],802.11i,WPA2,51.1308,17.0448
34:2C:C4:6B:7F:57,33/70,-77,"UPC8900844",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1308,17.0448
B6:A7:B9:BC:9C:53,21/70,-89,"",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
36:2C:94:6B:7F:57,33/70,-77,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1308,17.0448
B0:A7:B9:BC:9C:52,25/70,-85,"CZY\xC5\x9ACIEC",2.427,4,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1308,17.0448
AC:F8:CC:06:7E:BC,23/70,-87,"Woz_obserwacyjny_cba_nr_7",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
10:5A:F7:B0:0A:20,24/70,-86,"wrb-net",2.437,6,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1308,17.0448
54:B1:21:53:6C:5C,37/70,-72.6667,"WLAN1-Y6M78H",2.462,11,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1308,17.0448
7A:AC:B9:C2:A7:D8,23/70,-87,"",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
84:D8:1B:8D:5A:00,27/70,-83,"TP-Link_5A00",2.447,8,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1308,17.0448
D8:A7:56:D9:4F:9F,25/70,-82,"Orange_Swiatlowod_4F9A",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
24:A4:3C:FE:13:88,25/70,-85,"slon-AER tel 888084818",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
AC:F8:CC:3D:5D:3F,26/70,-84,"UPC0993058",5.62,124,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
38:43:7D:49:36:C9,30/70,-78.6667,"UPC0536861",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1308,17.0448
48:8F:5A:5C:90:9D,22/70,-88,"SmartEye-HV811",2.427,4,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1308,17.0448
10:5A:F7:AB:E4:28,26/70,-84,"NETIASPOT-2.4GHz-ABE425",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1308,17.0448
C4:E9:84:CA:28:D0,23/70,-87,"TP-LINK_CA28D1",2.427,4,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1308,17.0448
78:A3:51:61:94:00,26/70,-84,"Korbank-internet-9288_2.4GHz",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1308,17.0448
AC:22:05:CB:97:3E,24/70,-86,"UPC392F3F3",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
34:2C:C4:9F:F8:48,28/70,-83,"UPC7203440",5.32,64,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
34:2C:C4:9F:E0:26,23/70,-85.6667,"UPC6454525-5,0",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
EC:08:6B:DD:D1:C9,31/70,-79,"advd",2.467,12,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1308,17.0448
24:4B:FE:08:03:E0,26/70,-83.3333,"Sith Empire",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1308,17.0448
20:83:F8:4F:DD:64,26/70,-84,"NETIASPOT-2.4GHz-4FDD60",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1308,17.0448
96:9A:4A:54:D9:1C,28/70,-82,"",2.432,5,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1308,17.0448
90:9A:4A:54:D9:1C,27/70,-84.3333,"Love Island",2.432,5,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1308,17.0448
A8:63:7D:94:0F:F2,22/70,-88,"dlink-0FF0",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
6C:BA:B8:49:4A:85,20/70,-90,"Orange_Swiatlowod_4A80",5.56,112,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
24:4B:FE:08:03:E4,22/70,-86.6667,"Sith Empire",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
68:02:B8:09:0E:5D,27/70,-83,"UPC4158327",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
34:2C:C4:92:B3:3F,32/70,-78,"Get your own",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1308,17.0448
C0:C9:E3:3B:69:99,26/70,-84,"delfin",2.457,10,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1308,17.0448
F4:F2:6D:57:E6:8D,26/70,-83,"h2",2.472,13,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1308,17.0448
20:83:F8:14:A2:38,21/70,-87.3333,"NETIASPOT-5GHz-14A230",5.56,112,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
34:75:63:F2:7D:2E,45/70,-67.3333,"70mai_d08_7d2e",2.412,1,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1308,17.0448
FA:8F:CA:7E:6E:ED,22/70,-88,"",2.427,4,[ 1 2 5.5 11 6 24 36 48 54 ],NoInfo,NoInfo,51.1308,17.0448
34:2C:C4:92:44:C8,23/70,-87,"UPC3200014",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1308,17.0448
