Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
D8:68:C3:C1:E5:51,56/70,-57,"AndroidAP",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1297,17.0413
CA:2C:4F:95:9C:E7,29/70,-80.6667,"HiSmart-01-ca2c4f959ce7",2.422,3,[ 1 2 5.5 11 6 24 36 48 54 ],NoInfo,NoInfo,51.1297,17.0413
44,29/70,-81,"Internet_Domowy_391990",2.422,5,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
10:D0:7A:BE:39:EB,28/70,-82,"DVR",2.462,11,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1297,17.0413
D4:F8:29:87:68:50,38/70,-73,"BOMBAJ",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1297,17.0413
34:2C:C4:C4:3D:85,21/70,-85.6667,"UPC8021556",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
36:2C:94:C4:3D:85,24/70,-86,"Wi-Free #InternetUPCNajszybszy",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
04:D4:C4:C2:3E:44,19/70,-91,"Wazlizka 1",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
14:4D:67:10:98:60,30/70,-80,"144D67109860",2.457,10,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1297,17.0413
34:2C:C4:48:67:01,24/70,-86,"UPC5488775",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
D4:F8:29:87:68:55,37/70,-73.3333,"BOMBAJ",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
A4:9B:4F:85:CA:E9,26/70,-84,"PLAY INTERNET 4G LTE-CAE9",2.442,7,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1297,17.0413
36:2C:94:48:67:01,26/70,-84,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1297,17.0413
6C:BA:B8:49:58:45,21/70,-89,"Orange_5840",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
24:F2:7F:71:A5:50,22/70,-88,"17230h",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1297,17.0413
