SSID,BSSID,LEVEL
Smartphone_connect_1dea19,b0:d8:88:1d:ea:19,-60
My VW 1553,5a:d5:0a:e8:5d:7f,-72
Orange_Swiatlowod_EDA0,84:a1:d1:c6:ed:a0,-73
GRINGO,50:c7:bf:2a:83:b3,-74
UPC2E2A88,84:0b:7c:be:2a:88,-74
UPC8618176,34:2c:c4:d8:55:88,-74
Orange_Swiatlowod_FCB0,84:a1:d1:d1:fc:b5,-75
TP-Link_731B_5G,60:32:b1:16:73:1a,-75
Wi-Free #InternetUPCNajszybszy,36:2c:94:d8:55:88,-75
slon-AER tel 888084818,24:a4:3c:fe:13:88,-76
Orange_Swiatlowod_A7B0,c0:3c:04:3b:a7:b0,-76
Korbank-DD704,f4:28:53:7d:d7:04,-76
NETIASPOT-5GHz-391474,20:83:f8:39:14:7c,-77
freak,68:ff:7b:26:03:da,-77
,6e:ff:7b:25:f9:1b,-78
HUAWEI-B315-F16E,00:9a:cd:6b:f1:6e,-78
VenoMedica,e0:63:da:bb:e3:ab,-78
,ea:63:da:bb:e3:ab,-78
freak,68:ff:7b:25:f9:1b,-79
VenoMedicaGosc,e6:63:da:bb:e3:ab,-79
TP-Link_731B,60:32:b1:16:73:1b,-80
Orange_Swiatlowod_7E20,e4:c0:e2:0d:7e:20,-80
SkyNet!,10:27:f5:61:7f:74,-80
freak,68:ff:7b:26:03:db,-80
UPC1024805,34:2c:c4:e7:50:a7,-80
UPC5E2A80,86:0b:7c:be:2a:80,-80
UPC8618176,34:2c:c4:d8:55:78,-81
Orange_Swiatlowod_B520,98:42:65:e3:b5:20,-81
UPC5615390,34:2c:c4:e8:a4:db,-82
SkyNet!,10:27:f5:61:7f:73,-82
UPC9035000,34:2c:c4:4d:18:05,-82
Orange_Swiatlowod_EDA0,84:a1:d1:c6:ed:a5,-83
UPC9851863,ac:f8:cc:03:20:eb,-83
dlink-F800,34:0a:33:b0:f8:02,-84
FunBox3-17F0,84:a1:d1:d5:17:f5,-85
T-Mobile_Swiatlowod_5GHz_C7D0,98:42:65:d0:c7:d5,-85
dlink-150A,34:0a:33:b1:15:0c,-85
AKL8,96:9a:4a:fc:3b:9f,-85
NETIASPOT-737F80,00:12:2a:73:7f:88,-85
ZyXELCD44DE,08:26:97:cd:44:df,-85
dlink-1251,a8:63:7d:94:12:53,-85
5G-Vectra-WiFi-2E3818,08:7e:64:2e:38:1f,-86
ASUS_48_5G,d4:5d:64:86:98:4c,-86
thirtydoorkey,a0:63:91:08:43:72,-86
dlink-4AA6,34:0a:33:7e:4a:a8,-86
UPC4785A9E,90:5c:44:98:d8:2e,-86
Korbank-DD704_5G,f4:28:53:7d:d7:06,-87
Holonet_5G,0c:80:63:0e:f3:02,-88
bestnet2-wko-airmax.pl-717170530,18:e8:29:36:99:20,-89
ZyXELCD44DE_5G,08:26:97:cd:44:e0,-89
DIRECT-37-HP M15 LaserJet,c6:65:16:43:a1:37,-89
UPC504096877,8c:5b:f0:a2:32:0e,-89
bestnet4-wf-airmax.pl-717170530,80:2a:a8:7c:bc:1d,-90
T-Mobile_5GHz_9F890E,44:ad:b1:9f:89:15,-90
Narnia,f8:08:4f:db:33:2f,-90
Orange_Swiatlowod_B960,6c:ba:b8:48:b9:65,-91
,8a:d8:1b:8d:5a:00,-91
Netia5G_31,34:0a:33:b1:10:97,-91
17230h,24:f2:7f:71:a5:50,-91
iPad,24:f2:7f:71:a5:52,-91
Bunkier,10:5a:f7:af:8d:4c,-91
Orange_Swiatlowod_E3D0,84:a1:d1:c8:e3:d5,-91
My VW 1553,5a:d5:0a:88:5d:7f,-92
Fasolkowo5G-Guest,6a:36:c9:90:da:e3,-92
PLAY INTERNET 4G LTE-5G-1180,5c:03:39:d4:11:82,-92
Orange_Swiatlowod_57A0,6c:ba:b8:32:57:a5,-93
Orange_Swiatlowod_B4E0,e8:d2:ff:ee:b4:e0,-93
Orange_Swiatlowod_2100,98:42:65:e3:21:00,-93
