SSID,BSSID,LEVEL
freak,68:ff:7b:25:f9:1a,-73
UPC8021556,34:2c:c4:c4:3d:85,-75
freak,68:ff:7b:25:f9:1b,-76
144D67109860,14:4d:67:10:98:60,-78
WLAN1-H81J49,5c:c3:07:29:10:30,-80
HiSmart-01-ca2c4f959ce7,ca:2c:4f:95:9c:e7,-80
UPC9995925,34:2c:c4:33:1b:8c,-81
UPC8021556,34:2c:c4:c4:3d:a1,-81
HUAWEI-B525-9C8C,b0:e5:ed:65:9c:8c,-82
Wi-Free #InternetUPCNajszybszy,36:2c:94:c4:3d:85,-82
Orange_Swiatlowod_8700,e8:d2:ff:5d:87:00,-83
bestnet2-wko-airmax.pl-717170530,18:e8:29:36:99:20,-85
DIRECT-7F-HP DeskJet 3630 series,b0:5a:da:78:71:80,-85
PLAY INTERNET 4G LTE-1180,5c:03:39:d4:11:80,-85
TP-Link_405A_5G,d8:0d:17:a4:40:59,-85
Orange_Swiatlowod_3EC0,e8:d2:ff:f0:3e:c0,-86
FantaNetwork 5G,ac:f8:cc:89:16:0f,-87
Rynsztok,6c:ba:b8:4b:c8:f5,-88
UPC9276627,38:43:7d:c5:dd:9d,-88
Orange_Swiatlowod_6D00,d4:f8:29:88:6d:05,-90
UPC3301663,ac:f8:cc:20:e7:aa,-90
slon-AER tel 888084818,24:a4:3c:fe:13:88,-91
T-Mobile_Swiatlowod_5GHz_C399,10:d7:b0:88:c3:9e,-92
q_xopa_loco,2c:79:d7:c0:32:c5,-92
Orange_Swiatlowod_A650,f0:81:75:60:a6:55,-92
UPC1051296,e4:57:40:e0:24:27,-93
