SSID,BSSID,LEVEL
Smartphone_connect_1dea19,b0:d8:88:1d:ea:19,-64
ASUSsajsCAN,b0:be:76:6c:06:2d,-68
NETIASPOT-2.4GHz-109F78,20:83:f8:10:9f:7c,-71
Korbank-DD704,f4:28:53:7d:d7:04,-72
Xiaomi_E225,74:ac:b9:c1:a7:d8,-73
,72:ac:b9:c1:a7:d8,-73
TP-Link_731B,60:32:b1:16:73:1b,-74
ASUS,04:d9:f5:a5:b8:a8,-75
Xiaomi_E225,74:ac:b9:c2:a7:d8,-76
5G-Vectra-WiFi-843A04,5c:76:95:84:3a:0b,-76
UPC2697071,68:02:b8:8e:fc:56,-76
Orange_Swiatlowod_EDA0,84:a1:d1:c6:ed:a5,-77
slon-AER tel 888084818,24:a4:3c:fe:13:88,-78
,6e:ff:7b:25:f9:1b,-79
,6e:ff:7b:25:f9:1a,-80
NETIASPOT-2.4GHz-7CF4A4,8c:59:c3:7c:f4:a8,-80
FunBox3-17F0,84:a1:d1:d5:17:f5,-83
,42:84:6a:1b:01:41,-83
UPC4850464,68:02:b8:09:0e:dd,-84
TP-Link_731B_5G,60:32:b1:16:73:1a,-84
WLAN1-R5QB9J,a8:e5:44:f1:cb:35,-84
NETIASPOT-5GHz-AB88D1,10:5a:f7:ab:88:d8,-84
UPC502175553,8c:5b:f0:f1:69:b4,-85
bestnet2-wko-airmax.pl-717170530,18:e8:29:36:99:20,-85
Orange_Swiatlowod_FCB0,84:a1:d1:d1:fc:b5,-85
bestnet3-wf-airmax.pl-717170530,80:2a:a8:7e:a6:b4,-87
UPC582CC89,ac:22:05:51:8a:47,-87
Korbank-internet-fceb 5GHz,6c:60:eb:87:82:84,-87
NETIASPOT-5GHz-109F78,20:83:f8:10:9f:80,-87
5G-Vectra-WiFi-2E3818,08:7e:64:2e:38:1f,-88
TP-Link_0604_5G,68:ff:7b:e4:06:02,-89
UPC5615390,34:2c:c4:e8:a4:db,-89
Orange_Swiatlowod_A7B0,c0:3c:04:3b:a7:b0,-89
UPC2697071,68:02:b8:8e:fc:4e,-89
NETIASPOT-5GHz-4EF760,20:83:f8:4e:f7:68,-89
ZyXELCD44DE_5G,08:26:97:cd:44:e0,-89
Dom,b4:4b:d6:c1:e9:6c,-90
UPC9851863,ac:f8:cc:03:20:eb,-90
dlink-F800,34:0a:33:b0:f8:02,-91
5G_HighBand,2c:79:d7:b5:57:15,-91
Orange_Swiatlowod_F530,3c:17:10:44:f5:35,-92
NETIASPOT-5GHz-12B308,20:83:f8:12:b3:10,-92
Gołąb Ryszard,20:83:f8:70:be:d8,-92
Orange_Swiatlowod_7E20,e4:c0:e2:0d:7e:20,-92
Audi_MMI_6849_5GHz,8a:5a:85:da:c0:a5,-93
Orange_Swiatlowod_D21C,b0:bb:e5:c1:d2:21,-93
5G-Vectra-WiFi-19A008,10:33:bf:19:a0:0f,-93
UPC501807007,8c:5b:f0:ec:81:fe,-94
T-Mobile_5GHz_9F890E,44:ad:b1:9f:89:15,-95
WLAN1-5G-H81J49,5c:c3:07:29:10:32,-95
