SSID,BSSID,LEVEL
Internety Wolne,f6:8c:eb:b7:a6:0b,-69
TP-LINK_FBCC,60:e3:27:b2:fb:cc,-70
GRINGO,50:c7:bf:2a:83:b3,-70
freak,68:ff:7b:26:03:da,-71
TP-Link_0DF7,68:ff:7b:98:0d:f7,-73
slon-AER tel 888084818,24:a4:3c:fe:13:88,-75
Wi-Free #InternetUPCNajszybszy,ae:22:15:ad:06:e1,-76
PLAY INTERNET 4G LTE-1180,5c:03:39:d4:11:80,-77
UPCC6CB72E,ac:22:05:ad:06:e1,-77
FineMedia1985,00:d0:cb:f7:4d:82,-78
,6e:ff:7b:26:03:db,-79
freak,68:ff:7b:26:03:db,-79
TP-Link_731B_5G,60:32:b1:16:73:1a,-79
dlink-4AA6,34:0a:33:7e:4a:a8,-80
Dom_Kitkow,90:5c:44:72:56:c9,-80
SkyNet!,10:27:f5:61:7f:74,-81
Telefon Swiety,0c:cb:85:ec:d9:ca,-81
HUAWEI-B525-9C8C,b0:e5:ed:65:9c:8c,-82
dlink-150A,34:0a:33:b1:15:0c,-82
UPC4785A9E,90:5c:44:98:d8:5c,-82
UPC0591864,34:2c:c4:b4:eb:f3,-82
UPC8618176,34:2c:c4:d8:55:78,-82
TP-Link_731B,60:32:b1:16:73:1b,-83
WLAN1-631E2E,10:b1:f8:c0:63:5d,-83
SkyNet!,10:27:f5:61:7f:73,-84
Orange_Swiatlowod_FCB0,84:a1:d1:d1:fc:b5,-84
Orange_Swiatlowod_A7B0,c0:3c:04:3b:a7:b0,-85
,16:27:f5:61:7f:73,-85
Xiaomi_E225,74:ac:b9:c2:a7:d8,-86
UPC504574489,80:f5:03:a6:bb:a4,-86
freak,68:ff:7b:25:f9:1b,-87
,7a:ac:b9:c2:a7:d8,-87
Korbank-DD704_5G,f4:28:53:7d:d7:06,-87
Orange_Swiatlowod_7E20,e4:c0:e2:0d:7e:20,-87
,7e:ac:b9:c2:a7:d8,-87
Orange_Swiatlowod_EDA0,84:a1:d1:c6:ed:a5,-87
NETIASPOT-5GHz-391474,20:83:f8:39:14:7c,-88
Narnia,f8:08:4f:db:33:2f,-88
UPC9851863,ac:f8:cc:03:20:eb,-89
PLAY INTERNET 4G LTE-5G-1180,5c:03:39:d4:11:82,-89
TP-Link_0DF7_5G,68:ff:7b:98:0d:f6,-89
Netia5G_31,34:0a:33:b1:10:97,-89
5G-Vectra-WiFi-2E3818,08:7e:64:2e:38:1f,-89
bestnet2-wko-airmax.pl-717170530,18:e8:29:36:99:20,-90
ASUS_48_5G,d4:5d:64:86:98:4c,-90
FantaNetwork 5G,ac:f8:cc:89:16:0f,-91
beamek5,ac:f8:cc:05:8c:85,-91
,42:84:6a:1b:01:41,-91
UPC506256156,8c:5b:f0:66:16:78,-91
Internety Szybkie,f4:8c:eb:a7:a6:0b,-92
Orange_Swiatlowod_E3D0,84:a1:d1:c8:e3:d5,-93
Gołąb Ryszard,20:83:f8:70:be:d8,-93
NETIASPOT-5GHz-AF9141,10:5a:f7:af:91:48,-94
